inst_name,plz,ror_id,dfg_inst_id,federal_state
Leibniz-Zentrum für Archäologie (LEIZA),55116,0483qx226,10472,Rheinland-Pfalz
Max-Planck-Institut für Informatik,66123,01w19ak89,10473,Saarland
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,72622,02rqsa469,10479,Baden-Württemberg
FZI Forschungszentrum Informatik,76131,04kdh6x72,10480,Baden-Württemberg
Historische Kommission,80539,,10487,Bayern
Max-Planck-Institut für Innovation und Wettbewerb,80333,033198s46,10489,Bayern
Max-Planck-Institut für Sozialrecht und Sozialpolitik,80799,03vp67w60,10490,Bayern
Max-Planck-Institut für Quantenoptik (MPQ),85748,01vekys64,10492,Bayern
Bayerische Landesanstalt für Landwirtschaft (LfL),85354,01grm4y17,10493,Bayern
Hochschule Zittau/Görlitz,02763,056tzgr32,10494,Sachsen
Deutsches Institut für Wirtschaftsforschung (DIW),10117,0050vmv35,10497,Berlin
Universität zu Lübeck,23562,00t3r8h32,10499,Schleswig-Holstein
Hochschule für Technik und Wirtschaft Dresden (HTW),01069,05q5pk319,10501,Sachsen
Potsdam-Institut für Klimafolgenforschung (PIK),14473,03e8s1d88,10503,Brandenburg
Weierstraß-Institut für Angewandte Analysis und Stochastik (WIAS),10117,00h1x4t21,10505,Berlin
Leibniz-Institut für Gewässerökologie und Binnenfischerei (IGB),12587,01nftxb06,10506,Berlin
Paul-Drude-Institut für Festkörperelektronik (PDI),10117,01mk1hj86,10507,Berlin
Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie (MBI),12489,03jbf6q27,10508,Berlin
"Ferdinand-Braun-Institut gGmbH, Leibniz-Institut für Höchstfrequenztechnik (FBH)",12489,02be22443,10509,Berlin
Leibniz-Institut für Kristallzüchtung (IKZ),12489,037p86664,10510,Berlin
Leibniz-Institut für Zoo- und Wildtierforschung (IZW),10315,05nywn832,10511,Berlin
Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK),06466,02skbsp27,10512,Sachsen-Anhalt
Europa-Universität Viadrina Frankfurt (Oder),15230,02msan859,10514,Brandenburg
Zuse-Institut Berlin (ZIB),14195,02eva5865,10524,Berlin
Max-Planck-Institut für molekulare Pflanzenphysiologie (MPI-MP),14476,01fbde567,10525,Brandenburg
Institut für Chemo- und Biosensorik (ICB),48149,029drer02,10526,Nordrhein-Westfalen
Leibniz-Institut für Globale und Regionale Studien (GIGA),20354,00681ts17,10527,Hamburg
Leibniz-Institut für Katalyse e.V. an der Universität Rostock (LIKAT),18059,029hg0311,10528,Mecklenburg-Vorpommern
CUTEC Clausthaler Umwelttechnik Forschungszentrum,38678,,10529,Niedersachsen
"Fraunhofer-Institut für Nachrichtentechnik, Heinrich-Hertz-Institut (HHI)",10587,02tbr6331,10530,Berlin
IPN - Leibniz-Institut für die Pädagogik der Naturwissenschaften und Mathematik,24118,008n8dd57,10531,Schleswig-Holstein
Europa-Universität Flensburg,24943,046e0mt33,10532,Schleswig-Holstein
Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,26389,02vvvm705,10533,Niedersachsen
Institut für Seeverkehrswirtschaft und Logistik (ISL),28359,04scst564,10534,Bremen
Theologische Hochschule Friedensau,39291,038rep477,10536,Sachsen-Anhalt
Hochschule für Musik Detmold,32756,03y02pg02,10538,Nordrhein-Westfalen
Leibniz-Institut zur Analyse des Biodiversitätswandels (LIB),53113,00wz4b049,10539,Nordrhein-Westfalen
VPU Vinzenz Pallotti University,56179,036smcz74,10540,Rheinland-Pfalz
Hochschule Mainz,55128,02re32a17,10542,Rheinland-Pfalz
ZEW - Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH,68161,,10543,Baden-Württemberg
"Hochschule für Jüdische Studien (HfJS), Heidelberg",69117,052gzq419,10544,Baden-Württemberg
Institut für Vogelforschung - Vogelwarte Helgoland (IfV),26386,0309m1r07,10547,Niedersachsen
"Hochschule für Technik, Wirtschaft und Kultur Leipzig (HTWK)",04277,03xgcq477,10548,Sachsen
Max-Planck-Institut für Physik komplexer Systeme,01187,01bf9rw71,10549,Sachsen
